,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
REGIÓN COSTA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  CANASTA FAMILIAR VITAL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PARA EL ANÁLISIS DE LA RELACIÓN INFLACIÓN - REMUNERACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,
"Se considera la estructura fija del gasto en bienes y servicios establecida en enero 2007 para un Hogar tipo de cuatro miembros con 1,60 perceptores de Remuneración básica unificada.",,,,,,,,,,,,,,,,,,,,,,,,,
BASE: Enero 2007  = 100,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE 2025,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"No.
Orden",Grupos y Subgrupos de Consumo,Variación Mensual (%),Costo Actual en Dólares,Distribución del ingreso actual**,Restricción / Excedente en el consumo,,,,,,,,,,,,,,,,,,,,
,,,,,En Dólares,% del Costo,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,TOTAL,1.80,582.19,877.33,-295.13,-50.69,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2,ALIMENTOS Y BEBIDAS,-0.23,236.91,302.89,-65.98,-11.33,,,,,,,,,,,,,,,,,,,
3,Cereales y derivados,-0.44,36.03,37.45,-1.41,-0.24,,,,,,,,,,,,,,,,,,,
4,Carne y preparaciones,-0.07,44.68,47.89,-3.21,-0.55,,,,,,,,,,,,,,,,,,,
5,Pescados y mariscos,-2.28,8.19,13.98,-5.79,-0.99,,,,,,,,,,,,,,,,,,,
6,Grasas y aceites comestibles,-0.61,11.08,13.00,-1.92,-0.33,,,,,,,,,,,,,,,,,,,
7,"Leche, productos lácteos y huevos",-0.81,33.75,36.51,-2.76,-0.47,,,,,,,,,,,,,,,,,,,
8,Verduras frescas,-1.72,16.02,36.15,-20.13,-3.46,,,,,,,,,,,,,,,,,,,
9,Tubérculos y derivados,4.81,15.54,16.41,-0.87,-0.15,,,,,,,,,,,,,,,,,,,
10,Leguminosas y derivados,0.00,5.76,18.73,-12.98,-2.23,,,,,,,,,,,,,,,,,,,
11,Frutas frescas,-1.32,15.41,27.25,-11.85,-2.03,,,,,,,,,,,,,,,,,,,
12,"Azúcar, sal y condimentos",-0.49,7.48,7.82,-0.35,-0.06,,,,,,,,,,,,,,,,,,,
13,"Café, té y bebidas gaseosas",0.56,7.99,11.23,-3.25,-0.56,,,,,,,,,,,,,,,,,,,
14,Otros productos alimenticios,-5.89,1.80,2.72,-0.92,-0.16,,,,,,,,,,,,,,,,,,,
15,Alim. y beb. consumidas fuera del hogar,0.19,33.17,33.73,-0.56,-0.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
16,VIVIENDA,1.06,133.28,150.41,-17.13,-2.94,,,,,,,,,,,,,,,,,,,
