,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SANTO DOMINGO DE LOS COLORADOS,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  CANASTA FAMILIAR VITAL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PARA EL ANÁLISIS DE LA RELACIÓN INFLACIÓN - REMUNERACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,
"Se considera la estructura fija del gasto en bienes y servicios establecida en enero 2007 para un Hogar tipo de cuatro miembros con 1,60 perceptores de Remuneración básica unificada.",,,,,,,,,,,,,,,,,,,,,,,,,
BASE: Enero 2007  = 100,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE 2025,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"No.
Orden",Grupos y Subgrupos de Consumo,Variación Mensual (%),Costo Actual en Dólares,Distribución del ingreso actual**,Restricción / Excedente en el consumo,,,,,,,,,,,,,,,,,,,,
,,,,,En Dólares,% del Costo,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,TOTAL,2.99,535.71,877.33,-341.62,-63.77,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2,ALIMENTOS Y BEBIDAS,0.49,224.20,300.57,-76.37,-14.26,,,,,,,,,,,,,,,,,,,
3,Cereales y derivados,1.09,30.16,31.80,-1.64,-0.31,,,,,,,,,,,,,,,,,,,
4,Carne y preparaciones,0.12,42.43,46.14,-3.71,-0.69,,,,,,,,,,,,,,,,,,,
5,Pescados y mariscos,-14.32,6.19,12.89,-6.70,-1.25,,,,,,,,,,,,,,,,,,,
6,Grasas y aceites comestibles,1.62,11.02,13.25,-2.22,-0.42,,,,,,,,,,,,,,,,,,,
7,"Leche, productos lácteos y huevos",-0.22,34.55,37.75,-3.20,-0.60,,,,,,,,,,,,,,,,,,,
8,Verduras frescas,1.27,14.50,37.80,-23.30,-4.35,,,,,,,,,,,,,,,,,,,
9,Tubérculos y derivados,8.84,14.77,15.77,-1.00,-0.19,,,,,,,,,,,,,,,,,,,
10,Leguminosas y derivados,-1.03,4.50,19.52,-15.02,-2.80,,,,,,,,,,,,,,,,,,,
11,Frutas frescas,-0.60,15.17,28.88,-13.71,-2.56,,,,,,,,,,,,,,,,,,,
12,"Azúcar, sal y condimentos",-0.06,6.57,6.97,-0.40,-0.08,,,,,,,,,,,,,,,,,,,
13,"Café, té y bebidas gaseosas",1.00,7.95,11.71,-3.76,-0.70,,,,,,,,,,,,,,,,,,,
14,Otros productos alimenticios,-2.00,1.78,2.84,-1.06,-0.20,,,,,,,,,,,,,,,,,,,
15,Alim. y beb. consumidas fuera del hogar,1.08,34.62,35.27,-0.65,-0.12,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
16,VIVIENDA,1.46,101.47,121.30,-19.83,-3.70,,,,,,,,,,,,,,,,,,,
