,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUITO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CANASTA FAMILIAR BÁSICA ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARA EL ANÁLISIS DE LA RELACIÓN INFLACIÓN - REMUNERACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Se considera la estructura fija del gasto en bienes y servicios establecida en noviembre 1982 para un Hogar tipo de cuatro miembros con 1,60 perceptores de Remuneración básica unificada.",,,,,,,,,,,,,,,,,,,,,,,,,,,
 BASE: Noviembre 1982 = 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No.
Orden",Grupos y Subgrupos de Consumo,Variación Mensual (%),Costo Actual en Dólares,Distribución del ingreso actual**,Restricción / Excedente en el consumo,,,,,,,,,,,,,,,,,,,,,,
,,,,,En Dólares,% del Costo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TOTAL,0.14,842.09,877.33,-35.25,-4.19,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ALIMENTOS Y BEBIDAS,0.74,287.86,296.30,-8.44,-1.00,,,,,,,,,,,,,,,,,,,,,
3,Cereales y derivados,-1.02,64.42,64.55,-0.13,-0.02,,,,,,,,,,,,,,,,,,,,,
4,Carne y preparaciones,0.44,44.18,44.54,-0.36,-0.04,,,,,,,,,,,,,,,,,,,,,
5,Pescados y mariscos,2.57,14.63,15.17,-0.54,-0.06,,,,,,,,,,,,,,,,,,,,,
6,Grasas y aceites comestibles,-2.97,12.03,12.24,-0.20,-0.02,,,,,,,,,,,,,,,,,,,,,
7,"Leche, productos lácteos y huevos",-0.65,38.18,38.59,-0.41,-0.05,,,,,,,,,,,,,,,,,,,,,
8,Verduras frescas,-0.73,17.95,20.49,-2.54,-0.30,,,,,,,,,,,,,,,,,,,,,
9,Tubérculos y derivados,3.33,18.59,18.70,-0.11,-0.01,,,,,,,,,,,,,,,,,,,,,
10,Leguminosas y derivados,1.14,7.16,8.89,-1.72,-0.20,,,,,,,,,,,,,,,,,,,,,
11,Frutas frescas,11.39,24.45,26.37,-1.91,-0.23,,,,,,,,,,,,,,,,,,,,,
12,"Azúcar, sal y condimentos",-1.46,13.75,13.78,-0.03,0.00,,,,,,,,,,,,,,,,,,,,,
13,"Café, té y bebidas gaseosas",-1.08,8.43,8.70,-0.27,-0.03,,,,,,,,,,,,,,,,,,,,,
14,Otros productos alimenticios,0.28,1.27,1.42,-0.15,-0.02,,,,,,,,,,,,,,,,,,,,,
15,Alim. y beb. consumidas fuera del hogar,0.32,22.80,22.86,-0.06,-0.01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
