,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CANASTA FAMILIAR BÁSICA ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARA EL ANÁLISIS DE LA RELACIÓN INFLACIÓN - REMUNERACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Se considera la estructura fija del gasto en bienes y servicios establecida en noviembre 1982 para un Hogar tipo de cuatro miembros con 1,60 perceptores de Remuneración básica unificada.",,,,,,,,,,,,,,,,,,,,,,,,,,,
 BASE: Noviembre 1982 = 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No.
Orden",Grupos y Subgrupos de Consumo,Variación Mensual (%),Costo Actual en Dólares,Distribución del ingreso actual**,Restricción / Excedente en el consumo,,,,,,,,,,,,,,,,,,,,,,
,,,,,En Dólares,% del Costo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TOTAL,0.43,846.09,877.33,-31.24,-3.69,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ALIMENTOS Y BEBIDAS,-1.32,261.28,268.76,-7.48,-0.88,,,,,,,,,,,,,,,,,,,,,
3,Cereales y derivados,-0.89,42.45,42.57,-0.12,-0.01,,,,,,,,,,,,,,,,,,,,,
4,Carne y preparaciones,-0.43,45.63,45.94,-0.32,-0.04,,,,,,,,,,,,,,,,,,,,,
5,Pescados y mariscos,1.99,15.89,16.36,-0.47,-0.06,,,,,,,,,,,,,,,,,,,,,
6,Grasas y aceites comestibles,-4.25,11.51,11.69,-0.18,-0.02,,,,,,,,,,,,,,,,,,,,,
7,"Leche, productos lácteos y huevos",-2.30,40.61,40.97,-0.36,-0.04,,,,,,,,,,,,,,,,,,,,,
8,Verduras frescas,-1.13,17.12,19.38,-2.25,-0.27,,,,,,,,,,,,,,,,,,,,,
9,Tubérculos y derivados,2.17,22.08,22.18,-0.10,-0.01,,,,,,,,,,,,,,,,,,,,,
10,Leguminosas y derivados,1.29,6.56,8.09,-1.53,-0.18,,,,,,,,,,,,,,,,,,,,,
11,Frutas frescas,-13.51,13.22,14.92,-1.70,-0.20,,,,,,,,,,,,,,,,,,,,,
12,"Azúcar, sal y condimentos",-0.07,11.83,11.85,-0.02,0.00,,,,,,,,,,,,,,,,,,,,,
13,"Café, té y bebidas gaseosas",0.91,8.63,8.87,-0.24,-0.03,,,,,,,,,,,,,,,,,,,,,
14,Otros productos alimenticios,-7.13,1.54,1.67,-0.13,-0.02,,,,,,,,,,,,,,,,,,,,,
15,Alim. y beb. consumidas fuera del hogar,0.00,24.21,24.27,-0.06,-0.01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
